    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update 
"Dr. Iyantta  Howell, M.D.",,7373 Ridge Avenue,Suite 436,Philadelphia,PA,19128,,PHILADELPHIA,313-804-0111,,,,,40.0478,-75.234,BUPREN,
"Dr. Mohammed Asif Khan, M.D.",,561 Fairthorne Avenue,,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4000,,,,,40.0434,-75.2216,BUPREN,
"Dr. Nohazarahit Maria Garcia Caraballo, M.D.",,561 Fairthorne Avenue,,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4000,,,,,40.0434,-75.2216,BUPREN,
"Dr. Lesley H. Lee, M.D.",,Fairmount Behavioral Health System,561 Fairthorne Avenue,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4000,,,,,40.0434,-75.2216,BUPREN,
"Dr. Pamela JoAnn Ralph, M.D.",,Fairmount Behavioral Heath,561 Fairthorne Avenue,Philadelphia,PA,19128,,PHILADELPHIA,251-487-4100,,,,,40.0434,-75.2216,BUPREN,
"Dr. Vijaya L. Velagapudi, M.D.",,Fbhs 561 Fairthorne Avenue,,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4190,,,,,40.0434,-75.2216,BUPREN,
"Dr. Michael Steven Cohen, M.D.",,561 Fairthorne Avenue,,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4000,,,,,40.0434,-75.2216,BUPREN,
"Dr. Scott  Dunzik, M.D.",,Fairmount Behavioral Health,561 Fairthorne Avenue,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4032,,,,,40.0434,-75.2216,BUPREN,
"Dr. Brigid Bonsato Bautista, M.D.",,Fairmount Behavioral Health System,561 Fairthorne Avenue,Philadelphia,PA,19128,,PHILADELPHIA,215-487-4000,,,,,40.0434,-75.2216,BUPREN,
"Dr. Brittni Delores Jones, D.O.",,561 Fairthorne Ave 1912,,Philadelphia,PA,19128,,PHILADELPHIA,267-338-2263,,,,,40.0434,-75.2216,BUPREN,
"Dr. Mariam H. Asar, M.D.",,7600 Stenton Avenue,Apt.4L,Philadelphia,PA,19118,,PHILADELPHIA,215-384-8136,,,,,40.0732,-75.1907,BUPREN,
"Dr. James D. Nelson, M.D.",,737 West Allens Lane,,Philadelphia,PA,19119,,PHILADELPHIA,215-242-8055,,,,,40.0502,-75.2048,BUPREN,
"Dr. Daniel  DeJoseph, M.D.",,Fairmount Primary Care Center at Girard Medical Center,801 West Girard Avenue,Philadelphia,PA,19122,,PHILADELPHIA,215-967-1632,,,,,40.0226,-75.218,BUPREN,
" Sonia  Anand-Nichols, ",,5735 Ridge Avenue,Suite #101,Philadelphia,PA,19128,,PHILADELPHIA,215-310-8087,,,,,40.0287,-75.2096,BUPREN,
"Dr. Roy K. Augusthy, M.D.",,5735 Ridge Avenue,Suite 202,Philadelphia,PA,19128,,PHILADELPHIA,215-483-8605,,,,,40.0287,-75.2096,BUPREN,
"Dr. Sonia S. Shah, M.D.",,6429 Wood Crest Avenue,,Philadelphia,PA,19151,,PHILADELPHIA,917-319-0396,,,,,39.9824,-75.2531,BUPREN,
"Dr. John S. Michel, D.O.",,7515 Stenton Avenue,,Philadelphia,PA,19150,,PHILADELPHIA,267-335-5264,,,,,40.0613,-75.1682,BUPREN,
"Dr. Ravindernath  Pidikiti, M.D.",,5058 City Avenue,,Philadelphia,PA,19131,,PHILADELPHIA,215-921-6369,,,,,39.9983,-75.2317,BUPREN,
"Dr. Mehdi  Nikparvar, M.D.",,5058 City Avenue,,Philadelphia,PA,19131,,PHILADELPHIA,570-441-4267,,,,,39.9983,-75.2317,BUPREN,
"Dr. Arnold Sheldon Lincow, D.O.",,Ogontz Family Center P.C.,7622 Ogontz Avenue,Philadelphia,PA,19150,,PHILADELPHIA,215-224-8980,,,,,40.0706,-75.1577,BUPREN,
"Dr. Reena  Thomas, M.D.",,633 West Rittenhouse Street,Apartment A907,Philadelphia,PA,19144,,PHILADELPHIA,267-374-2178,,,,,40.0311,-75.1851,BUPREN,
"Dr. Gregory Eugene Cannon, D.O.",,"Cannon Care, LL",2300 S. Broad Street. Suite 206,Philadelphia,PA,19145,,PHILADELPHIA,215-207-6758,,,,,39.8285,-75.4208,BUPREN,
"Dr. Thomas  Richardson, D.O.",,Belmont Hospital,4200 Monument Road,Philadelphia,PA,19131,,PHILADELPHIA,215-877-2000,,,,,39.9999,-75.2153,BUPREN,
"Dr. Sachin  Mehta, M.D",,Belmont Center,4200 Monument Road,Philadelphia,PA,19131,,PHILADELPHIA,215-581-3763,,,,,39.9996,-75.2156,BUPREN,
" Raghavendra  Siragavarapu, ",,4200 Monument road,,Philadelphia,PA,19131,,PHILADELPHIA,215-581-3804,,,,,39.9996,-75.2156,BUPREN,
" Lori Ann Albright, NP",,4200 Monument Road,,Philadelphia,PA,19131,,PHILADELPHIA,215-581-3702,,,,,39.9996,-75.2156,BUPREN,
"Dr. John J. Bowden, Jr., D.O.",,1738 West Chehenham Avenue,,Philadelphia,PA,19126,,PHILADELPHIA,215-548-3390,,,,,40.0664,-75.1451,BUPREN,
"Dr. Gary  Salzman, D.O.",,5945 Lansdowne Avenue,,Philadelphia,PA,19131,,PHILADELPHIA,245-338-4100,,,,,39.9892,-75.2197,BUPREN,
"Dr. John  Koleth, M.D.",,COMAR,100 West Lehigh Avenue,Philadelphia,PA,19131,,PHILADELPHIA,215-203-3000,,,,,39.9892,-75.2197,BUPREN,
"Dr. Vincent Joseph Thompson, III, M.D.",,"Elite Medical Associates, P.C.",Suite A1,Philadelphia,PA,19145,,PHILADELPHIA,267-519-0518,,,,,40.0789,-75.127,BUPREN,
"Dr. Walter E. Bantom, M.D.",,5615 West Girard Avenue,,Philadelphia,PA,19131,,PHILADELPHIA,215-477-5800,,,,,39.9708,-75.2333,BUPREN,
"Dr. Raymond Scott Bobb, D.O.",,5000 Parkside Avenue,,Philadelphia,PA,19131,,PHILADELPHIA,215-879-6116,,,,,39.9798,-75.2197,BUPREN,
"Dr. Laura Anne Murray, D.O.",,Parkside Recovery,5000 Parkside Avenue,Philadelphia,PA,19131,,PHILADELPHIA,215-879-6116,,,,,39.9798,-75.2197,BUPREN,
"Dr. Adriana  Navas, D.O.",,NHS Human Services,5000 Parkside Ave,Philadelphia,PA,19131,,PHILADELPHIA,215-879-6116,,,,,39.9797,-75.2198,BUPREN,
"Dr. Lawrence  Robinson, M.D.",,Oak Lane Medical Center,6715 Old York Road,Philadelphia,PA,19126,,PHILADELPHIA,215-927-3778,,,,,40.0563,-75.1398,BUPREN,
" Musbau  Kasumu, NP",,OAKLANE MEDICAL CENTER,6715 OLD YORK ROAD,Philadelphia,PA,19126,,PHILADELPHIA,215-927-3778,,,,,40.0563,-75.1398,BUPREN,
"Dr. Barbara K. Schindler, M.D.",,Caring Together Program- Drexel,"4700 Wissahickon Avenue, Suite 102",Philadelphia,PA,19144,,PHILADELPHIA,215-967-2138,,,,,40.0155,-75.1725,BUPREN,
"Dr. Trusandra Elaine Taylor, M.D.",,JEVS Human Services,5820 Old York Road,Philadelphia,PA,19141,,PHILADELPHIA,215-276-8400,,,,,40.042,-75.1447,BUPREN,
"Dr. Mahrukh S. Khan, M.D.",,Albert Einstein Medical Center,5501 Old York Road,Philadelphia,PA,19141,,PHILADELPHIA,215-456-8925,,,,,40.0368,-75.1434,BUPREN,
"Dr. Walter F. Wrenn, III, M.D.",,5139 Chestnut Street,,Philadelphia,PA,19139,,PHILADELPHIA,215-748-4241,,,,,39.9586,-75.2245,BUPREN,
"Dr. Jimmie J. Sanders, M.D.",,5151-A Walnut Street,,Philadelphia,PA,19403,,PHILADELPHIA,215-474-2007,,,,,39.9572,-75.2249,BUPREN,
"Dr. Howard Neal Dichter, M.D.",,5201 Old York Road,Ste. 108,Philadelphia,PA,19141,,PHILADELPHIA,215-390-1500,,,,,40.033,-75.1446,BUPREN,
"Dr. Fred  Baurer, M.D.",,111 North 49th Street,,Philadelphia,PA,19139,,PHILADELPHIA,215-471-2807,,,,,39.9617,-75.2185,BUPREN,
"Dr. Mark Anthony Novitsky, ",,111 North 49th Street,,Philadelphia,PA,19139,,PHILADELPHIA,215-471-2422,,,,,39.9617,-75.2185,BUPREN,
