   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,ass,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
Williamsport Family Med Center LLC,,2062 Lycoming Creek Road,,Williamsport,PA,17701,,Lycoming,570-505-1123,,,,http://www.williamsportmedical.com,41.2603886,-77.0432092,SA,2018-03-30 15:15:48.208,1,,1,1,,,,,,,,,1,,,,,,,,1,1,,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,,1,1,,,,,1,,1,1,1,,1,1,1,,,,,,,,,,1,1,1,1,,,1,1,,,1,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,1,,,,,,,1,,,,,1,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis House Inc,,800 West 4th Street,Suite G-01,Williamsport,PA,17701,,Lycoming,570-322-0520,Intakes,570-322-0520 x3009,570-322-0520 x3015,http://genesishouseoutpatient.com/,41.2406902,-77.0180331,SA,2018-03-09 14:13:02.535,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,1,,,1,,1,,,,,1,1,,,,1,,,,1,1,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,,,,,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,Williamsport,520 West Fourth Street,Suite 3-D,Williamsport,PA,17701,,Lycoming,570-322-4836,,,,http://,41.2403383,-77.0112398,SA,2018-06-20 09:50:41.417,1,,,,,,,,1,,,1,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,,,,,1,,1,,,,,1,,,,,1,1,,,,1,1,,,,1,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Counseling Inc,,501 East 3rd Street,,Williamsport,PA,17701,,Lycoming,570-323-7535,,,800-887-2720,http://www.crossroadscounselinginc.com,41.2448036,-76.9939619,SA,2017-03-21 12:52:09,1,,,,,1,,,1,1,1,1,,,,,,1,,,,1,,1,1,,1,,,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,1,1,1,,,,,,,,1,1,,,1,,,1,,,1,,,,1,,,,,,,1,,1,1,,1,,1,1,1,,,,,,1,,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,1,,1,1,,,,1,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,,1,,,,,1,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
PA Treatment and Healing,,1536 Catherine Street,,Williamsport,PA,17701,,Lycoming,570-321-7860,,,,http://www.pathtochange.org,41.2566773,-76.9829453,SA,2017-03-13 13:48:21,1,,,,,1,1,,,1,,,,,,,,1,,,,1,,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,1,1,,,,,,1,,,,,,,1,,,,1,1,1,,,,,1,,1,,,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,Williamsport,901 Westminster Drive,,Williamsport,PA,17701,,Lycoming,570-321-6127,,,800-255-2335,http://www.whitedeerrun.com,41.248357,-76.959279,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,,,1,1,,1,1,1,,,1,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Counseling Inc,,8 North Grove Street,Suite 4,Lock Haven,PA,17745,,Clinton,570-893-1886,,,,http://www.crossroadscounselinginc.com,41.13393,-77.443585,SA,2017-02-01 17:30:00,1,,,,,1,,,1,1,1,1,,,,,,1,,,,1,,1,1,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,1,,1,,,1,1,,1,,1,1,1,1,1,,,1,,1,1,,,,1,,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,,,,1,1,1,,,,,1,,,,,1,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,,360 White Deer Run Road,,Allenwood,PA,17810,,Union,800-255-2335,,,800-626-9355,http://www.whitedeerrun.com,41.0998506,-76.9267758,SA,2018-08-20 13:49:11.529,1,1,,,1,,,1,1,1,1,1,1,,,,,,,,1,1,1,1,,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,,1,1,1,,,,,1,,,,1,,,,,1,,,,1,1,,,,,,,1,1,1,1,1,,,1,1,1,,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watsontown Comprehensive Trt Ctr,,759 Susquehanna Trail,,Watsontown,PA,17777,,Northumberland,570-538-1240,,,,http://Acadiahealthcare.com,41.0611874,-76.8433564,SA,2018-07-31 14:20:07.172,1,,1,1,,1,1,,,1,,,1,,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,1,1,1,1,,1,,,,1,1,,1,,1,1,1,,,1,1,1,,,,1,1,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,,480 Hafer Road,,Lewisburg,PA,17837,,Union,570-524-3884,,,,http://,40.9899084,-76.887184,SA,2018-02-15 11:45:19.951,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,,1,,1,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
